,bigg_id
1,mal__L
2,3pg
3,ala__L
4,thr__L
5,gly
6,val__L
7,ser__L
8,phe__L
9,acetol
11,gam1p
12,octa
13,cit
14,arab__D
15,abt__D
16,fru
17,mnl
18,rib__D
19,r5p
21,xylt
22,T4hcinnm
24,fum
25,galt
27,glyclt
31,srb__L
32,lac__L
33,hom__L
34,lpam
35,3hmp
37,inost
38,acmana
39,egly
41,3hpp
42,oxa
44,pi
45,C10164
46,pime
50,succ
52,thym
53,acon_T
55,lac__L
56,akg
57,glyc
58,succ
59,fum
