exchange,growth,uptake
EX_gmp_e,True,10
EX_g1p_e,True,10
EX_g6p_e,True,10
EX_gam6p_e,True,10
EX_cmp_e,True,10
EX_man6p_e,True,10
EX_pser__L_e,True,10
EX_ump_e,True,10
EX_minohp_e,True,10
