bigg_id
mal__L
3pg
ala__L
thr__L
gly
val__L
ser__L
phe__L
acetol
gam1p
octa
cit
arab__D
abt__D
fru
mnl
rib__D
r5p
xylt
T4hcinnm
fum
galt
glyclt
srb__L
lac__L
hom__L
lpam
3hmp
inost
acmana
egly
3hpp
oxa
pi
C10164
pime
succ
thym
acon_T
lac__L
akg
glyc
succ
fum
